192.168.1.148 - - [02/Sep/2025:02:39:41 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:41 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:41 +0000] "POST /identity/v3/users HTTP/1.1" 201 529 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "PUT /identity/v3/projects/475016eaff3c4fbcac6aed915131499d/users/c3ff91652bd942c8bd73d5069bacf5f8/roles/19ac34f318b94ce395ebb89a4a4c9217 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "PUT /identity/v3/projects/475016eaff3c4fbcac6aed915131499d/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e/roles/d12dec3cf196427982d91eeb6717b29c HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles/anotherrole HTTP/1.1" 404 341 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles?name=anotherrole HTTP/1.1" 200 586 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "PUT /identity/v3/projects/475016eaff3c4fbcac6aed915131499d/users/c3ff91652bd942c8bd73d5069bacf5f8/roles/099839105f9e49078a0eb6a16a629854 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/projects/4a992813abc3457888db461ed359a371 HTTP/1.1" 200 561 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "PUT /identity/v3/projects/4a992813abc3457888db461ed359a371/users/c3ff91652bd942c8bd73d5069bacf5f8/roles/19ac34f318b94ce395ebb89a4a4c9217 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:42 +0000] "POST /identity/v3/users HTTP/1.1" 201 543 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/role_assignments?role.id=19ac34f318b94ce395ebb89a4a4c9217&scope.project.id=475016eaff3c4fbcac6aed915131499d&user.id=c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 860 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
